CDSCode,Short_CDS,NCESDist,NCESSchool,County,District,School,MailStreet,MailStrAbr,MailCity,MailZip,MailState,Phone,Ext,Website,OpenDate,ClosedDate,Charter,DOCType,SOCType,EdOpsName,EILName,GSoffered,GSserved,Virtual,Latitude,Longitude,LastUpdate
07617966004915,6004915,0632550,05040,Contra Costa,West Contra Costa Unified,"Martin Luther King, Jr. Elementary",4022 Florida Ave,4022 Florida Ave,Richmond,94804-3398,CA,(510) 231-1403,NA,NA,1980-07-01,NA,N,Unified School District,Elementary Schools (Public),Traditional,Elementary,K-6,K-6,C,37.929454,-122.33165,2016-12-20
07617966004931,6004931,0632550,05056,Contra Costa,West Contra Costa Unified,Riverside Elementary,1300 Amador Street,1300 Amador St.,Richmond,94806-4098,CA,(510) 231-1409,NA,NA,1980-07-01,NA,N,Unified School District,Elementary Schools (Public),Traditional,Elementary,K-6,K-6,C,37.952538,-122.3275,2016-12-20
07617966004956,6004956,0632550,05059,Contra Costa,West Contra Costa Unified,Shannon Elementary,685 Marlesta Road,685 Marlesta Rd.,Pinole,94564-2899,CA,(510) 231-1454,NA,NA,1980-07-01,NA,N,Unified School District,Elementary Schools (Public),Traditional,Elementary,K-6,K-6,C,38.000488,-122.31084,2016-12-20
07617966004964,6004964,0632550,05060,Contra Costa,West Contra Costa Unified,Sheldon Elementary,2601 May Road,2601 May Rd.,Richmond,94803-3196,CA,(510) 231-1414,NA,NA,1980-07-01,NA,N,Unified School District,Elementary Schools (Public),Traditional,Elementary,K-6,K-6,C,37.967273,-122.29674,2016-12-20
07617966004972,6004972,0632550,05061,Contra Costa,West Contra Costa Unified,Stege Elementary,4949 Cypress Avenue,4949 Cypress Ave.,Richmond,94804-4499,CA,(510) 231-1425,NA,NA,1980-07-01,NA,N,Unified School District,Elementary Schools (Public),Traditional,Elementary,K-6,K-6,C,37.91986,-122.32306,2016-12-20
07617966004980,6004980,0632550,05062,Contra Costa,West Contra Costa Unified,Stewart Elementary,2040 Hoke Drive,2040 Hoke Dr.,Pinole,94564-1899,CA,(510) 231-1410,NA,NA,1980-07-01,NA,N,Unified School District,Elementary Schools (Public),Traditional,Elementary,K-8,K-8,C,37.990659,-122.28972,2016-12-20
07617966004998,6004998,0632550,05063,Contra Costa,West Contra Costa Unified,Tara Hills Elementary,2300 Dolan Way,2300 Dolan Way,San Pablo,94806-1699,CA,(510) 231-1428,NA,NA,1980-07-01,NA,N,Unified School District,Elementary Schools (Public),Traditional,Elementary,K-6,K-6,C,37.993455,-122.31386,2016-12-20
07617966005003,6005003,0632550,05064,Contra Costa,West Contra Costa Unified,Valley View Elementary,3416 Maywood Drive,3416 Maywood Dr.,Richmond,94803-2099,CA,(510) 231-1455,NA,NA,1980-07-01,NA,N,Unified School District,Elementary Schools (Public),Traditional,Elementary,K-6,K-6,C,37.97239,-122.28503,2016-12-20
07617966005011,6005011,0632550,05065,Contra Costa,West Contra Costa Unified,Verde Elementary,2000 Giaramita Street,2000 Giaramita St.,Richmond,94801-1699,CA,(510) 231-1408,NA,NA,1980-07-01,NA,N,Unified School District,Elementary Schools (Public),Traditional,Elementary,K-6,K-6,C,37.96087,-122.36332,2016-12-20
07617966005037,6005037,0632550,05067,Contra Costa,West Contra Costa Unified,Washington Elementary,565 Wine Street,565 Wine St.,Richmond,94801-4054,CA,(510) 231-1417,NA,NA,1980-07-01,NA,N,Unified School District,Elementary Schools (Public),Traditional,Elementary,K-6,K-6,C,37.924763,-122.38059,2016-12-20
07617966005045,6005045,0632550,05068,Contra Costa,West Contra Costa Unified,Wilson Elementary,629 42nd Street,629 42nd St.,Richmond,94805-1898,CA,(510) 231-1456,NA,NA,1980-07-01,NA,N,Unified School District,Elementary Schools (Public),Traditional,Elementary,K-6,K-6,C,37.940014,-122.32833,2016-12-20
07617966057210,6057210,0632550,09184,Contra Costa,West Contra Costa Unified,Edward M. Downer Elementary,1231 18th Street,1231 18th St.,San Pablo,94806-4731,CA,(510) 234-3851,NA,NA,1980-07-01,NA,N,Unified School District,Elementary Schools (Public),Traditional,Elementary,K-6,K-6,C,37.951973,-122.35207,2016-12-20
07617966057228,6057228,0632550,05034,Contra Costa,West Contra Costa Unified,Helms Middle,2500 Road 20,2500 Road 20,San Pablo,94806-5010,CA,(510) 233-3988,NA,NA,1980-07-01,NA,N,Unified School District,Intermediate/Middle Schools (Public),Traditional,Intermediate/Middle/Junior High,7-8,7-8,C,37.963323,-122.34169,2016-12-20
07617966057236,6057236,0632550,05051,Contra Costa,West Contra Costa Unified,Pinole Middle,1575 Mann Drive,1575 Mann Dr.,Pinole,94564-4042,CA,(510) 231-1436,NA,NA,1980-07-01,NA,N,Unified School District,Intermediate/Middle Schools (Public),Traditional,Intermediate/Middle/Junior High,7-8,7-8,C,37.997616,-122.30295,2016-12-20
07617966057244,6057244,0632550,05053,Contra Costa,West Contra Costa Unified,Fred T. Korematsu Middle,1021 Navellier Street,1021 Navellier St.,El Cerrito,94530-2691,CA,(510) 524-0405,NA,NA,1980-07-01,NA,N,Unified School District,Intermediate/Middle Schools (Public),Traditional,Intermediate/Middle/Junior High,7-8,7-8,C,37.91571,-122.29944,2016-12-20
07617966061170,6061170,0632550,05017,Contra Costa,West Contra Costa Unified,Crespi Junior High,1121 Allview Avenue,1121 Allview Ave.,El Sobrante,94803-1099,CA,(510) 231-1447,NA,NA,1980-07-01,NA,N,Unified School District,Intermediate/Middle Schools (Public),Traditional,Intermediate/Middle/Junior High,7-8,7-8,C,37.986274,-122.30694,2016-12-20
07617966097141,6097141,0632550,05035,Contra Costa,West Contra Costa Unified,Lupine Hills Elementary,1919 Lupine Road,1919 Lupine Rd.,Hercules,94547-1299,CA,(510) 231-1411,NA,NA,1980-07-01,NA,N,Unified School District,Elementary Schools (Public),Traditional,Elementary,K-5,K-5,C,38.006803,-122.25365,2016-12-20
07617966099717,6099717,0632550,05048,Contra Costa,West Contra Costa Unified,Ohlone Elementary,1616 Pheasant Drive,1616 Pheasant Dr.,Hercules,94547-1699,CA,(510) 231-1443,NA,NA,1980-07-01,NA,N,Unified School District,Elementary Schools (Public),Traditional,Elementary,K-5,K-5,C,38.006642,-122.27184,2016-12-20
07617966112015,6112015,0632550,04445,Contra Costa,West Contra Costa Unified,Hanna Ranch Elementary,2480 Refugio Valley Road,2480 Refugio Valley Rd.,Hercules,94547-1553,CA,(510) 231-1441,NA,NA,1994-09-01,NA,N,Unified School District,Elementary Schools (Public),Traditional,Elementary,K-5,K-5,C,37.993533,-122.23384,2016-12-20
07617966114086,6114086,0632550,07080,Contra Costa,West Contra Costa Unified,Harbour Way Elementary Community Day,1121 Allview Ave,1121 Allview Ave,El Sobrante,94803-1054,CA,(510) 231-1438,NA,NA,1997-09-02,NA,N,Unified School District,District Community Day Schools,Community Day School,Intermediate/Middle/Junior High,K-8,6-8,C,37.985668,-122.30749,2016-12-20
07617966114094,6114094,0632550,07081,Contra Costa,West Contra Costa Unified,Cesar E. Chavez Elementary,960 17th Street,960 17th St.,Richmond,94801-2400,CA,(510) 231-1418,NA,NA,1997-01-01,NA,N,Unified School District,Elementary Schools (Public),Traditional,Elementary,K-6,K-6,C,37.94628,-122.35373,2016-12-20
07617966118368,6118368,0632550,08692,Contra Costa,West Contra Costa Unified,Manzanita Middle,461 33rd St,461 33rd St,Richmond,94804-1718,CA,(510) 222-3500,NA,www.manzy.org,2000-09-06,NA,Y,Unified School District,Intermediate/Middle Schools (Public),Traditional,Intermediate/Middle/Junior High,6-8,6-8,N,37.93661,-122.33755,2016-11-15
07617966119515,6119515,0632550,10757,Contra Costa,West Contra Costa Unified,Hercules Middle,1900 Refugio Valley Road,1900 Refugio Valley Rd.,Hercules,94547-1554,CA,(510) 231-1429,NA,NA,2001-08-28,NA,N,Unified School District,Intermediate/Middle Schools (Public),Traditional,Intermediate/Middle/Junior High,6-8,6-8,C,37.99974,-122.25197,2016-12-20
07617966120885,6120885,0632550,11226,Contra Costa,West Contra Costa Unified,Lovonya DeJean Middle,3400 Macdonald Avenue,3400 Macdonald Ave.,Richmond,94805-4501,CA,(510) 231-1430,NA,NA,2003-01-27,NA,N,Unified School District,Intermediate/Middle Schools (Public),Traditional,Intermediate/Middle/Junior High,7-8,7-8,C,37.934215,-122.33687,2016-12-20
07618040000000,0000000,0635130,NA,Contra Costa,San Ramon Valley Unified,NA,699 Old Orchard Drive,699 Old Orchard Dr.,Danville,94526-4331,CA,(925) 552-5500,NA,www.srvusd.net,NA,NA,NA,Unified School District,NA,NA,NA,NA,NA,NA,37.812241,-121.97705,2016-10-20
07618040102566,0102566,0635130,10758,Contra Costa,San Ramon Valley Unified,Hidden Hills Elementary,12995 Harcourt Way,12995 Harcourt Way,San Ramon,94582-2803,CA,(925) 479-3800,NA,www.hhes.srvusd.net,2004-08-26,NA,N,Unified School District,Elementary Schools (Public),Traditional,Elementary,K-5,K-5,N,37.764172,-121.89321,2016-10-20
07618040108324,0108324,0635130,10759,Contra Costa,San Ramon Valley Unified,Windemere Ranch Middle,12995 Harcourt Way,12995 Harcourt Way,San Ramon,94582,CA,(925) 479-7400,NA,www.wrms.srvusd.net,2005-08-29,NA,N,Unified School District,Intermediate/Middle Schools (Public),Traditional,Intermediate/Middle/Junior High,6-8,6-8,N,37.75202,-121.90566,2015-06-18
07618040109173,0109173,0635130,10760,Contra Costa,San Ramon Valley Unified,Quail Run Elementary,4000 Goldenbay Avenue,4000 Goldenbay Ave.,San Ramon,94582-5814,CA,(925) 560-4000,NA,www.qres.srvusd.net,2005-08-29,NA,N,Unified School District,Elementary Schools (Public),Traditional,Elementary,K-5,K-5,N,37.761467,-121.91166,2015-06-18
07618040113118,0113118,0635130,11990,Contra Costa,San Ramon Valley Unified,Dougherty Valley High,10550 Albion Road,10550 Albion Rd.,San Ramon,94582-2901,CA,(925) 479-6400,NA,www.srvusd.net,2007-08-27,NA,N,Unified School District,High Schools (Public),Traditional,High School,9-12,9-12,N,37.767646,-121.90229,2016-10-20
07618040113589,0113589,0635130,11880,Contra Costa,San Ramon Valley Unified,Live Oak Elementary,5151 Sherwood Way,5151 Sherwood Way,San Ramon,94582-5961,CA,(925) 803-3100,NA,www.srvusd.net,2007-08-27,NA,N,Unified School District,Elementary Schools (Public),Traditional,Elementary,K-5,K-5,N,37.7535,-121.8962,2015-06-18
07618040114728,0114728,0635130,13249,Contra Costa,San Ramon Valley Unified,INFANT Pre,699 Old Orchard Drive,699 Old Orchard Dr.,Danville,93526-4331,CA,(925) 820-6815,NA,www.srusd.net,2007-08-27,NA,N,Unified School District,Preschool,Traditional,Preschool,P,NA,N,37.813355,-121.97718,2015-06-03
07618040116541,0116541,0635130,12300,Contra Costa,San Ramon Valley Unified,Gale Ranch Middle,6400 Main Branch Road,6400 Main Branch Rd.,San Ramon,94582-5825,CA,(925) 479-1500,NA,www.srvusd.k12.ca.us,2008-08-25,NA,N,Unified School District,Intermediate/Middle Schools (Public),Traditional,Intermediate/Middle/Junior High,6-8,6-8,N,37.76919,-121.91042,2015-06-18
07618040119032,0119032,0635130,12242,Contra Costa,San Ramon Valley Unified,Creekside Elementary,6011 Massara Street,6011 Massara St.,Danville,94506-5004,CA,(925) 314-2000,NA,www.srvusd.k12.ca.us,2009-08-25,NA,N,Unified School District,Elementary Schools (Public),Traditional,Elementary,K-5,K-5,N,37.79285,-121.88151,2015-06-18
07618040132902,0132902,0635130,13980,Contra Costa,San Ramon Valley Unified,Bella Vista Elementary,1050 Trumpet Vine Lane,1050 Trumpet Vine Ln.,San Ramon,94582,CA,(925) 552-2960,NA,www.srvusd.net,2016-08-15,NA,N,Unified School District,Elementary Schools (Public),Traditional,Elementary,K-5,K-5,N,37.779927,-121.97801,2017-04-05
07618040730051,0730051,0635130,05943,Contra Costa,San Ramon Valley Unified,California High,9870 Broadmoor Drive,9870 Broadmoor Dr.,San Ramon,94583-2942,CA,(925) 803-3200,NA,www.chs.srvusd.net,1980-07-01,NA,N,Unified School District,High Schools (Public),Traditional,High School,9-12,9-12,N,37.747296,-121.94758,2015-09-10
07618040730218,0730218,0635130,08976,Contra Costa,San Ramon Valley Unified,Venture (Alternative),10540 Albion Road,10540 Albion Rd.,San Ramon,94582-2901,CA,(925) 479-1200,NA,www.venture.srvusd.net,1980-07-01,NA,N,Unified School District,Alternative Schools of Choice,Alternative School of Choice,Elementary-High Combination,K-12,1-12,N,37.767191,-121.90383,2015-06-18
07618040734368,0734368,0635130,05952,Contra Costa,San Ramon Valley Unified,Monte Vista High,3131 Stone Valley Road,3131 Stone Valley Rd.,Danville,94526-1129,CA,(925) 552-2800,NA,www.mvhigh.net,1980-07-01,NA,N,Unified School District,High Schools (Public),Traditional,High School,9-12,9-12,N,37.844787,-121.98231,2015-09-10
07618040736504,0736504,0635130,05957,Contra Costa,San Ramon Valley Unified,San Ramon Valley High,501 Danville Boulevard,501 Danville Blvd.,Danville,94526-2404,CA,(925) 552-3000,NA,www.srvhs.srvusd.net,1980-07-01,NA,N,Unified School District,High Schools (Public),Traditional,High School,9-12,9-12,N,37.826715,-122.00532,2015-06-18
07618040736819,0736819,0635130,05946,Contra Costa,San Ramon Valley Unified,Del Amigo High (Continuation),189 Del Amigo Road,189 Del Amigo Rd.,Danville,94526-2399,CA,(925) 855-2600,NA,www.dahs.srvusd.net,1980-07-01,NA,N,Unified School District,Continuation High Schools,Continuation School,High School,7-12,10-12,N,37.826927,-122.01086,2015-09-10
07618046005060,6005060,0635130,05942,Contra Costa,San Ramon Valley Unified,Alamo Elementary,100 Wilson Road,100 Wilson Rd.,Alamo,94507-1253,CA,(925) 855-4800,NA,www.aes.srvusd.net,1980-07-01,NA,N,Unified School District,Elementary Schools (Public),Traditional,Elementary,K-5,K-5,N,37.867494,-122.03093,2015-06-18
07618046005078,6005078,0635130,05944,Contra Costa,San Ramon Valley Unified,Charlotte Wood Middle,600 El Capitan Drive,600 El Capitan Dr.,Danville,94526-5000,CA,(925) 855-4400,NA,www.cwms.srvusd.net,1980-07-01,NA,N,Unified School District,Intermediate/Middle Schools (Public),Traditional,Intermediate/Middle/Junior High,6-8,6-8,N,37.800814,-121.9769,2015-06-18
07618046005086,6005086,0635130,05945,Contra Costa,San Ramon Valley Unified,Country Club Elementary,7534 Blue Fox Way,7534 Blue Fox Way,San Ramon,94583-3721,CA,(925) 479-6000,NA,www.cces.srvusd.net,1980-07-01,NA,N,Unified School District,Elementary Schools (Public),Traditional,Elementary,K-5,K-5,N,37.728137,-121.93992,2015-06-18
07618046005094,6005094,0635130,05947,Contra Costa,San Ramon Valley Unified,Green Valley Elementary,1001 Diablo Road,1001 Diablo Rd.,Danville,94526-1923,CA,(925) 855-5400,NA,www.gves.srvusd.net,1980-07-01,NA,N,Unified School District,Elementary Schools (Public),Traditional,Elementary,K-5,K-5,N,37.833686,-121.9805,2015-06-18
07618046005102,6005102,0635130,05949,Contra Costa,San Ramon Valley Unified,John Baldwin Elementary,741 Brookside Drive,741 Brookside Dr.,Danville,94526-4201,CA,(925) 855-5200,NA,www.jbes.srvusd.net,1980-07-01,NA,N,Unified School District,Elementary Schools (Public),Traditional,Elementary,K-5,K-5,N,37.807689,-121.98445,2016-10-20
07618046005110,6005110,0635130,05950,Contra Costa,San Ramon Valley Unified,Los Cerros Middle,968 Blemer Road,968 Blemer Rd.,Danville,94526-1502,CA,(925) 855-6800,NA,www.lcms.srvusd.net,1980-07-01,NA,N,Unified School District,Intermediate/Middle Schools (Public),Traditional,Intermediate/Middle/Junior High,6-8,6-8,N,37.837695,-121.98109,2015-09-10
07618046005128,6005128,0635130,05951,Contra Costa,San Ramon Valley Unified,Montair Elementary,300 Quinterra Lane,300 Quinterra Ln.,Danville,94526-3239,CA,(925) 855-5100,NA,www.mes.srvusd.net,1980-07-01,NA,N,Unified School District,Elementary Schools (Public),Traditional,Elementary,K-5,K-5,N,37.818735,-122.00394,2016-10-20
07618046005136,6005136,0635130,05956,Contra Costa,San Ramon Valley Unified,Rancho Romero Elementary,180 Hemme Avenue,180 Hemme Ave.,Alamo,94507-2144,CA,(925) 855-5700,NA,www.rres.srvusd.net,1980-07-01,NA,N,Unified School District,Elementary Schools (Public),Traditional,Elementary,K-5,K-5,N,37.839924,-122.0279,2015-06-18
07618046005144,6005144,0635130,05958,Contra Costa,San Ramon Valley Unified,Stone Valley Middle,3001 Miranda Avenue,3001 Miranda Ave.,Alamo,94507-1646,CA,(925) 855-5800,NA,www.svms.srvusd.net,1980-07-01,NA,N,Unified School District,Intermediate/Middle Schools (Public),Traditional,Intermediate/Middle/Junior High,6-8,6-8,N,37.857262,-122.01954,2015-09-10
07618046005151,6005151,0635130,05960,Contra Costa,San Ramon Valley Unified,Vista Grande Elementary,667 Diablo Road,667 Diablo Rd.,Danville,94526-2801,CA,(925) 314-1000,NA,www.vges.srvusd.net,1980-07-01,NA,N,Unified School District,Elementary Schools (Public),Traditional,Elementary,K-5,K-5,N,37.825458,-121.98725,2015-06-18
07618046066591,6066591,0635130,05954,Contra Costa,San Ramon Valley Unified,Neil A. Armstrong Elementary,2849 Calais Drive,2849 Calais Dr.,San Ramon,94583-3116,CA,(925) 479-1600,NA,www.naes.srvusd.net,1980-07-01,NA,N,Unified School District,Elementary Schools (Public),Traditional,Elementary,K-5,K-5,N,37.740612,-121.9482,2015-06-18
07618046071039,6071039,0635130,05961,Contra Costa,San Ramon Valley Unified,Walt Disney Elementary,3250 Pine Valley Road,3250 Pine Valley Rd.,San Ramon,94583-3651,CA,(925) 479-3900,NA,www.des.srvusd.net,1980-07-01,NA,N,Unified School District,Elementary Schools (Public),Traditional,Elementary,K-5,K-5,N,37.741189,-121.93621,2015-06-18
07618046089130,6089130,0635130,05959,Contra Costa,San Ramon Valley Unified,Twin Creeks Elementary,2785 Marsh Drive,2785 Marsh Dr.,San Ramon,94583-2049,CA,(925) 855-2900,NA,www.tces.srvusd.net,1980-07-01,NA,N,Unified School District,Elementary Schools (Public),Traditional,Elementary,K-5,K-5,N,37.767608,-121.98591,2015-09-10
07618046096036,6096036,0635130,05948,Contra Costa,San Ramon Valley Unified,Greenbrook Elementary,1475 Harlan Drive,1475 Harlan Dr.,Danville,94526-5248,CA,(925) 855-5300,NA,www.ges.srvusd.net,1980-07-01,NA,N,Unified School District,Elementary Schools (Public),Traditional,Elementary,K-5,K-5,N,37.792138,-121.97378,2015-06-18
07618046097158,6097158,0635130,05953,Contra Costa,San Ramon Valley Unified,Montevideo Elementary,13000 Broadmoor Drive,13000 Broadmoor Dr.,San Ramon,94583-2555,CA,(925) 479-6100,NA,www.mves.srvusd.net,1980-07-01,NA,N,Unified School District,Elementary Schools (Public),Traditional,Elementary,K-5,K-5,N,37.754986,-121.95117,2015-06-18
07618046097166,6097166,0635130,05955,Contra Costa,San Ramon Valley Unified,Pine Valley Middle,3000 Pine Valley Road,3000 Pine Valley Rd.,San Ramon,94583-3324,CA,(925) 479-7700,NA,www.pvms.srvusd.net,1980-07-01,NA,N,Unified School District,Intermediate/Middle Schools (Public),Traditional,Intermediate/Middle/Junior High,6-8,6-8,N,37.738778,-121.94351,2015-06-18
07618046100952,6100952,0635130,07356,Contra Costa,San Ramon Valley Unified,Bollinger Canyon Elementary,2300 Talavera Drive,2300 Talavera Dr.,San Ramon,94583-2200,CA,(925) 242-3200,NA,www.bes.srvusd.net,1980-07-01,NA,N,Unified School District,Elementary Schools (Public),Traditional,Elementary,K-5,K-5,N,37.760624,-121.97025,2015-06-18
07618046108161,6108161,0635130,09631,Contra Costa,San Ramon Valley Unified,Golden View Elementary,5025 Canyon Crest Drive,5025 Canyon Crest Dr.,San Ramon,94582-4848,CA,(925) 855-2700,NA,www.gvies.srvusd.net,1980-07-01,NA,N,Unified School District,Elementary Schools (Public),Traditional,Elementary,K-5,K-5,N,37.78704,-121.94305,2015-06-18
07618046110449,6110449,0635130,00289,Contra Costa,San Ramon Valley Unified,Sycamore Valley Elementary,2200 Holbrook Drive,2200 Holbrook Dr.,Danville,94506-4413,CA,(925) 736-0102,NA,www.ses.srvusd.net,1992-09-09,NA,N,Unified School District,Elementary Schools (Public),Traditional,Elementary,K-5,K-5,N,37.805825,-121.94494,2015-06-18
07618046113336,6113336,0635130,05729,Contra Costa,San Ramon Valley Unified,Iron Horse Middle,12601 Alcosta Boulevard,12601 Alcosta Blvd.,San Ramon,94583-9025,CA,(925) 824-2820,NA,www.ims.srvusd.net,1996-09-01,NA,N,Unified School District,Intermediate/Middle Schools (Public),Traditional,Intermediate/Middle/Junior High,6-8,6-8,N,37.770906,-121.95688,2015-06-18
07618046114326,6114326,0635130,07082,Contra Costa,San Ramon Valley Unified,Tassajara Hills Elementary,4675 Camino Tassajara Road,4675 Camino Tassajara Rd.,Danville,94506-5901,CA,(925) 855-7800,NA,www.thes.srvusd.net,1997-09-01,NA,N,Unified School District,Elementary Schools (Public),Traditional,Elementary,K-5,K-5,N,37.799405,-121.87887,2015-06-18
07618046117451,6117451,0635130,08460,Contra Costa,San Ramon Valley Unified,Diablo Vista Middle,4100 Camino Tassajara,4100 Camino Tassajara,Danville,94506-4700,CA,(925) 855-7600,NA,www.dvms.srvusd.net,2000-09-01,NA,N,Unified School District,Intermediate/Middle Schools (Public),Traditional,Intermediate/Middle/Junior High,6-8,6-8,N,37.799664,-121.89742,2015-06-18
07618046117485,6117485,0635130,08461,Contra Costa,San Ramon Valley Unified,Coyote Creek Elementary,8700 North Gale Ridge Road,8700 North Gale Ridge Rd.,San Ramon,94582-5081,CA,(925) 855-7300,NA,www.ckes.srvusd.net,2000-09-01,NA,N,Unified School District,Elementary Schools (Public),Traditional,Elementary,K-5,K-5,N,37.778119,-121.92806,2015-09-10
07618120000000,0000000,0641250,NA,Contra Costa,Walnut Creek Elementary,NA,960 Ygnacio Valley Road,960 Ygnacio Valley Rd.,Walnut Creek,94596-3826,CA,(925) 944-6850,NA,www.walnutcreeksd.org,NA,NA,NA,Elementary School District,NA,NA,NA,NA,NA,NA,37.90801,-122.05564,2016-07-29
07618120131714,0131714,0641250,13866,Contra Costa,Walnut Creek Elementary,Tice Creek,1847 Newell Avenue,1847 Newell Ave.,Walnut Creek,94595-1452,CA,(925) 746-5515,NA,www.walnutcreeksd.org,2015-08-26,NA,N,Elementary School District,Elementary Schools (Public),Traditional,Elementary,K-8,K-7,N,37.888512,-122.06648,2016-04-27
07618126005169,6005169,0641250,06827,Contra Costa,Walnut Creek Elementary,Buena Vista Elementary,2355 San Juan Avenue,2355 San Juan Ave.,Walnut Creek,94597-3099,CA,(925) 944-6822,NA,NA,1980-07-01,NA,N,Elementary School District,Elementary Schools (Public),Traditional,Elementary,K-5,K-5,N,37.912758,-122.06909,2015-06-18
07618126005177,6005177,0641250,06828,Contra Costa,Walnut Creek Elementary,Indian Valley Elementary,551 Marshall Drive,551 Marshall Dr.,Walnut Creek,94598-4908,CA,(925) 944-6828,NA,NA,1980-07-01,NA,N,Elementary School District,Elementary Schools (Public),Traditional,Elementary,K-5,K-5,N,37.90152,-122.03196,2016-04-25
07618126005185,6005185,0641250,06829,Contra Costa,Walnut Creek Elementary,Murwood Elementary,2050 Vanderslice Avenue,2050 Vanderslice Ave.,Walnut Creek,94596-5923,CA,(925) 943-2462,NA,NA,1980-07-01,NA,N,Elementary School District,Elementary Schools (Public),Traditional,Elementary,K-5,K-5,N,37.883652,-122.04656,2015-06-18
07618126005193,6005193,0641250,09461,Contra Costa,Walnut Creek Elementary,Parkmead Elementary,1920 Magnolia Way,1920 Magnolia Way,Walnut Creek,94595-1715,CA,(925) 944-6858,NA,NA,1980-07-01,NA,N,Elementary School District,Elementary Schools (Public),Traditional,Elementary,K-5,K-6,N,37.887443,-122.0686,2016-07-29
07618126005235,6005235,0641250,06831,Contra Costa,Walnut Creek Elementary,Walnut Creek Intermediate,2425 Walnut Boulevard,2425 Walnut Blvd.,Walnut Creek,94597-3836,CA,(925) 944-6840,NA,NA,1980-07-01,NA,N,Elementary School District,Intermediate/Middle Schools (Public),Traditional,Intermediate/Middle/Junior High,6-8,6-8,N,37.90965,-122.05515,2016-04-25
07618126005243,6005243,0641250,06832,Contra Costa,Walnut Creek Elementary,Walnut Heights Elementary,4064 Walnut Boulevard,4064 Walnut Blvd.,Walnut Creek,94596-5463,CA,(925) 944-6834,NA,NA,1980-07-01,NA,N,Elementary School District,Elementary Schools (Public),Traditional,Elementary,K-5,K-5,N,37.894147,-122.0378,2016-04-25
07743440000000,0000000,0600092,NA,Contra Costa,Contra Costa County ROP,NA,77 Santa Barbara Road,77 Santa Barbara Rd.,Pleasant Hill,94523,CA,(925) 942-3368,NA,NA,NA,NA,NA,Regional Occupation Center/Program (ROC/P),NA,NA,NA,NA,NA,NA,37.935012,-122.06968,2016-01-29
07743440790022,0790022,0600092,10761,Contra Costa,Contra Costa County ROP,Contra Costa County ROP,77 Santa Barbara Road,77 Santa Barbara Rd.,Pleasant Hill,94523-4215,CA,(925) 942-3368,NA,NA,1980-07-01,NA,N,Regional Occupation Center/Program (ROC/P),ROC/ROP,NA,High School,9-12,NA,NA,37.935382,-122.06991,2015-03-24
07770240000000,0000000,0601439,NA,Contra Costa,SBE - Rocketship Futuro Academy,NA,"350 Twin Dolphin Drive, Suite 109","350 Twin Dolphin Dr., Ste. 109",Redwood City,94065,CA,(301) 789-5469,NA,www.rsed.org,NA,NA,NA,State Board of Education,NA,NA,NA,NA,NA,NA,37.965658,-121.96106,2017-03-17
07770240134072,0134072,0601439,14044,Contra Costa,SBE - Rocketship Futuro Academy,Rocketship Futuro Academy,"350 Twin Dolphin Drive, Suite 109","350 Twin Dolphin Dr., Ste. 109",Redwood City,94065,CA,(301) 789-5469,NA,www.rsed.org,2016-08-18,NA,Y,State Board of Education,Elemen Schools In 1 School Dist. (Public),Traditional,Elementary,K-5,K-2,N,37.965658,-121.96106,2017-03-03
08100820000000,0000000,0691063,NA,Del Norte,Del Norte County Office of Education,NA,301 West Washington Boulevard,301 West Washington Blvd.,Crescent City,95531-8340,CA,(707) 464-0200,NA,www.delnorte.k12.ca.us,NA,NA,NA,County Office of Education (COE),NA,NA,NA,NA,NA,NA,41.772734,-124.20591,2016-08-17
08100820106625,0106625,0691063,10762,Del Norte,Del Norte County Office of Education,Elk Creek,301 West Washington Boulevard,301 West Washington Blvd.,Crescent City,95531,CA,(707) 464-0750,NA,www.delnorte.k12.ca.us,2004-07-01,NA,N,County Office of Education (COE),Juvenile Court Schools,Juvenile Court School,High School,7-12,9-12,N,41.764722,-124.19164,2016-05-17
08100820106666,0106666,0691063,10763,Del Norte,Del Norte County Office of Education,Bar-O,301 West Washington Boulevard,301 West Washington Blvd.,Crescent City,95531,CA,(707) 954-5601,NA,www.delnorte.k12.ca.us,2004-07-01,NA,N,County Office of Education (COE),Juvenile Court Schools,Juvenile Court School,High School,7-12,11-12,N,41.982874,-123.71893,2016-05-17
08100820114116,0114116,0691063,11883,Del Norte,Del Norte County Office of Education,Uncharted Shores Academy,330 E Street,330 E St.,Crescent City,95531-8330,CA,(707) 464-9828,NA,www.shoresacademy.com,2007-09-10,NA,Y,County Office of Education (COE),Elementary Schools (Public),Traditional,Elementary,K-8,K-8,N,41.751307,-124.20117,2015-06-18
08100820830042,0830042,0691063,08462,Del Norte,Del Norte County Office of Education,Del Norte Community,301 West Washington Boulevard,301 West Washington Blvd.,Crescent City,95531,CA,(707) 464-0750,NA,www.delnorte.k12.ca.us,1990-09-01,NA,N,County Office of Education (COE),County Community,County Community School,High School,K-12,8-12,N,41.767783,-124.20745,2016-05-17
